Type,Cotton,Organic_cotton,Other_plant,Wool,Other_animal,Polyester,Nylon,Spandex,Polyamide,Other_synthetic,Lyocell,Viscose,Rayon,Other_regenerated,Other,Recycled_content,Reused_content,Material_label,Chemicals_label,Production_label,Manufacturing_location,Transporation_distance,Use_location,Washing_instruction,Drying_instruction,Reusability_label,Recylability_label,EI
t-shirt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,0,Asia,18273.0,UK,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Asia,18354.53846153846,EU,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Asia,18354.53846153846,EU,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Asia,18273.0,UK,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
t-shirt,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
shirt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,Asia,21273.0,Asia,Machine wash_ cold,Line dry,0,0,0.0
