ID,Type,Cotton,Organic_cotton,Linen,Hemp,Jute,Other_plant,Silk,Wool,Leather,Camel,Cashmere,Alpaca,Feathers,Other_animal,Polyester,Nylon,Acrylic,Spandex,Elastane,Polyamide,Other_synthetic,Lyocell,Viscose,Acetate,Modal,Rayon,Other_regenerated,Other,Recycled_content,Reused_content,Material_label,Chemicals_label,Production_label,Manufacturing_location,Transporation_distance,Use_location,Washing_instruction,Drying_instruction,Reusability_label,Recylability_label,EI
1,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2072,Netherlands,Machine wash_ cold,Line dry,1,1,1
2,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2389,Germany,Machine wash_ cold,Line dry,1,1,1
3,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2262,Belgium,Machine wash_ cold,Line dry,1,1,1
4,jacket,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2728,France,Machine wash_ cold,Line dry,1,1,1
5,"jacket ","0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2887,Austria,Machine wash_ cold,Line dry,1,1,1
6,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2495,Denmark,Machine wash_ cold,Line dry,1,1,1
7,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2300,Luxembourg,Machine wash_ cold,Line dry,1,1,1
8,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2720,UK,Machine wash_ cold,Line dry,1,1,1
9,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2666,Switzerland,Machine wash_ cold,Line dry,1,1,1
10,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,3993,Greece,Machine wash_ cold,Line dry,1,1,1
11,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,9448,USA,Machine wash_ cold,Line dry,1,1,1
12,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2072,Netherlands,Machine wash_ cold,Line dry,1,1,1
13,jeans,"0,00","0,99","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1,0,1,Africa,2389,Germany,Machine wash_ cold,Line dry,1,1,1
14,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2262,Belgium,Machine wash_ cold,Line dry,1,1,1
15,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2728,France,Machine wash_ cold,Line dry,1,1,1
16,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2887,Austria,Machine wash_ cold,Line dry,1,1,1
17,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2495,Denmark,Machine wash_ cold,Line dry,1,1,1
18,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2300,Luxembourg,Machine wash_ cold,Line dry,1,1,1
19,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2720,UK,Machine wash_ cold,Line dry,1,1,1
20,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2666,Switzerland,Machine wash_ cold,Line dry,1,1,1
21,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,3993,Greece,Machine wash_ cold,Line dry,1,1,1
22,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,9448,USA,Machine wash_ cold,Line dry,1,1,1
23,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2072,Netherlands,Machine wash_ cold,Line dry,1,1,1
24,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2389,Germany,Machine wash_ cold,Line dry,1,1,1
25,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2262,Belgium,Machine wash_ cold,Line dry,1,1,1
26,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2728,France,Machine wash_ cold,Line dry,1,1,1
27,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2887,Austria,Machine wash_ cold,Line dry,1,1,1
28,jeans,"0,23","0,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,00",1,0,1,Africa,2495,Denmark,Machine wash_ cold,Line dry,1,1,1
29,jeans,"0,40","0,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,40","0,00",1,0,1,Africa,2300,Luxembourg,Machine wash_ cold,Line dry,1,1,1
